id,name,category,subcategory,forms,strengths,routes,population,aware,notes
"EML-A-001","Halothane","Anaesthetics","Inhalational","Inhalation (volatile liquid)","250 mL bottle","Inhalation","both","",""
"EML-A-002","Isoflurane","Anaesthetics","Inhalational","Inhalation (volatile liquid)","250 mL bottle","Inhalation","both","",""
"EML-A-003","Nitrous oxide","Anaesthetics","Inhalational","Medical gas","—","Inhalation","both","",""
"EML-A-004","Oxygen","Anaesthetics","Medical gases","Medical gas","—","Inhalation","both","","Hypoxaemia management"
"EML-A-005","Sevoflurane","Anaesthetics","Inhalational","Inhalation (volatile liquid)","250 mL bottle","Inhalation","both","",""
"EML-A-006","Ketamine","Anaesthetics","Injectable","Injection","50 mg/mL","IV; IM","both","",""
"EML-A-007","Propofol","Anaesthetics","Injectable","Injection (emulsion)","10 mg/mL","IV","both","","Not for age < 3 years (children)"
"EML-A-008","Thiopental","Anaesthetics","Injectable","Injection","10 mg/mL; 20 mg/mL","IV","both","",""
"EML-A-009","Bupivacaine","Anaesthetics","Local","Injection; Spinal","0.25%; 0.5%","Injection; Spinal","both","","Not recommended children < 12 years"
"EML-A-010","Lidocaine","Anaesthetics","Local","Injection; Topical; Cream","1%; 2%; 5%","Injection; Topical","both","",""
"EML-A-011","Lidocaine + Epinephrine","Anaesthetics","Local","Dental cartridge","2% + 1:80,000","Injection","both","",""
"EML-A-012","Atropine","Anaesthetics","Preoperative","Injection","500 mcg/mL; 600 mcg/mL; 1 mg","IV; IM","both","",""
"EML-A-013","Midazolam","Anaesthetics","Preoperative","Injection; Oral liquid; Tablet","1 mg/mL; 2 mg/mL; 7.5 mg; 15 mg","IV; Oral","both","",""
"EML-A-014","Morphine","Anaesthetics","Preoperative / Analgesic","Injection","10 mg; 15 mg; 0.5 mg/mL","IV; IM; SC","adult","",""
"EML-A-015","Promethazine","Anaesthetics","Preoperative","Injection; Suppository; Oral liquid; Tablet","25 mg/mL; 12.5 mg; 25 mg; 5 mg/mL","IV; IM; PR; Oral","both","",""
